player,team,maps_played,avg_acs,avg_vlr,avg_kd,avg_impact,pred_impact,win_rate,avg_first_kills,avg_clutch,avg_hs,rank
cgrs,Paper Rex,8,163.55555555555554,0.855,0.8768809712437163,2744076.6056105127,2.7418352e+06,0.5555555555555556,1.2222222222222223,0.018293840662261713,21.27777777777778,266
yay,Evil Geniuses,27,205.52380952380952,0.9315873015873015,0.987703055594251,2720289.9569260096,2.7195798e+06,0.4126984126984127,3.4444444444444446,0.018135262161728585,29.46031746031746,267
jawgemo,G2 Esports,91,219.35864978902953,1.0132489451476792,1.0876359552376693,2718576.970656681,2.7168705e+06,0.620253164556962,3.2151898734177213,0.01812384192202165,22.535864978902953,268
Dep,ZETA DIVISION,42,228.6904761904762,1.0177142857142858,1.1026898502862872,2700600.966731211,2.699602e+06,0.4095238095238095,3.5904761904761906,0.018004001769265313,28.0,269
Chaos,Monarch Effect,7,236.78947368421052,1.1776315789473684,1.1395865131464773,2687247.6801653043,2.6867185e+06,0.47368421052631576,4.552631578947368,0.01791497975708502,25.31578947368421,270
Xiaonuo,Royal Never Give Up,5,175.23076923076923,0.9542307692307693,0.9429670819376702,2677786.1765321153,2.675667e+06,0.5384615384615384,1.1538461538461537,0.017851904007510414,28.26923076923077,271
NDG,Team Secret,12,183.48275862068965,0.9458620689655173,1.0192091671954489,2656180.6436671033,2.6553732e+06,0.5172413793103449,1.6551724137931034,0.01770786684579788,23.17241379310345,272
Zcc,Royal Never Give Up,5,165.46153846153845,0.9765384615384616,0.9782796263565494,2656883.13877239,2.6551665e+06,0.5384615384615384,2.076923076923077,0.01771255060728745,19.807692307692307,273
thyy,TALON,22,194.3272727272727,0.9461818181818181,1.0235134398390802,2652645.5861436157,2.6516858e+06,0.4909090909090909,2.1636363636363636,0.017684299728194047,31.327272727272728,274
lovers rock,BBL Esports,7,229.3,1.0939999999999999,1.253165461279272,2637909.8634024127,2.6383585e+06,0.6,3.45,0.017586060740085507,21.45,275
Hermes,DRX,6,172.875,0.8475,0.8994882965761448,2637987.571328329,2.6359498e+06,0.5,2.5,0.017586580086580088,27.3125,276
carpe,T1,42,175.1090909090909,0.9067272727272727,0.9254583096641921,2628447.610959113,2.627677e+06,0.45454545454545453,1.4272727272727272,0.017522980337434442,27.245454545454546,277
Jremy,Team Secret,42,221.29245283018867,1.0024528301886793,1.0590232361375758,2617679.0715329275,2.6167988e+06,0.49056603773584906,3.707547169811321,0.017451189281529077,22.867924528301888,278
RobbieBk,LOUD,9,151.30434782608697,0.8395652173913043,0.8400349934237402,2612025.7526356024,2.6126688e+06,0.391304347826087,1.0434782608695652,0.01741350174715014,32.78260869565217,279
beyAz,Gentle Mates,12,155.42857142857142,0.7946428571428571,0.7549535820032834,2585110.599565096,2.5848732e+06,0.35714285714285715,0.9285714285714286,0.0172340675400595,24.285714285714285,280
Mazino,LEVIATÁN,71,200.47395833333334,0.9877083333333333,1.0595925491626303,2579866.039965402,2.5799342e+06,0.5416666666666666,1.7447916666666667,0.017199102684247472,26.53125,281
cauanzin,LOUD,64,202.26315789473685,0.9978362573099415,1.058432930148888,2572707.435547986,2.5724532e+06,0.5087719298245614,2.111111111111111,0.01715137856170627,25.842105263157894,282
TS,Gen.G,17,183.1860465116279,0.9258139534883721,0.9179419080131874,2565641.8188643926,2.5647228e+06,0.4186046511627907,1.5348837209302326,0.017104275014820425,22.162790697674417,283
SugarZ3ro,ZETA DIVISION,48,191.5,1.0085,1.030679627292637,2557560.581266789,2.5554702e+06,0.4083333333333333,1.05,0.017050399834295717,29.491666666666667,284
crow,ZETA DIVISION,17,164.06976744186048,0.8591860465116279,0.8514083333973644,2553336.4613482137,2.5551375e+06,0.4418604651162791,1.1627906976744187,0.017022239542015906,25.38372093023256,285
Lightningfast,Global Esports,15,179.75757575757575,0.896969696969697,0.9163041134262637,2544673.2561840983,2.5384538e+06,0.36363636363636365,1.6666666666666667,0.01696448459135227,33.303030303030305,286
